λ,T,Optical Density
1695,2.50455e-06,5.60127
1694,3.7574299999999998e-06,5.42511
1693,2.73822e-06,5.56253
1692,2.90436e-06,5.53695
1691,2.86315e-06,5.54316
1690,1.92365e-06,5.71587
1689,3.6417699999999996e-06,5.43869
1688,2.64963e-06,5.57681
1687,2.6953600000000002e-06,5.56938
1686,2.58711e-06,5.58718
1685,2.57966e-06,5.58844
1684,3.1998e-06,5.49488
1683,3.1286299999999996e-06,5.50465
1682,2.65423e-06,5.57606
1681,2.55172e-06,5.59317
1680,2.3018e-06,5.63793
1679,3.51429e-06,5.45416
1678,2.7945599999999996e-06,5.55369
1677,3.26814e-06,5.4857
1676,2.01429e-06,5.69588
1675,2.5547999999999997e-06,5.59264
1674,2.8000399999999997e-06,5.55284
1673,3.51643e-06,5.4539
1672,2.6026e-06,5.58459
1671,2.37332e-06,5.62464
1670,3.11101e-06,5.5071
1669,2.47796e-06,5.60591
1668,2.54562e-06,5.59421
1667,2.55454e-06,5.59269
1666,2.1295799999999998e-06,5.67171
1665,2.6435500000000003e-06,5.57781
1664,2.45138e-06,5.61059
1663,2.50849e-06,5.60059
1662,2.17443e-06,5.66265
1661,1.98801e-06,5.70158
1660,3.1157100000000004e-06,5.50644
1659,3.01792e-06,5.52029
1658,3.0068e-06,5.52189
1657,3.0329599999999998e-06,5.51813
1656,2.11901e-06,5.67387
1655,1.6293500000000001e-06,5.78799
1654,3.38185e-06,5.47085
1653,3.0911099999999998e-06,5.50989
1652,3.1035299999999996e-06,5.50814
1651,2.86262e-06,5.54324
1650,2.6343999999999997e-06,5.57932
1649,1.91673e-06,5.71744
1648,2.22079e-06,5.65349
1647,3.21128e-06,5.49332
1646,2.71799e-06,5.56575
1645,3.04383e-06,5.51658
1644,3.3968e-06,5.46893
1643,2.55767e-06,5.59216
1642,2.8029e-06,5.55239
1641,1.6750900000000002e-06,5.77596
1640,3.5605400000000003e-06,5.44848
1639,2.86387e-06,5.54305
1638,2.47857e-06,5.6058
1637,1.8694e-06,5.7283
1636,2.24448e-06,5.64888
1635,3.00064e-06,5.52279
1634,3.46834e-06,5.45988
1633,2.5311099999999996e-06,5.59669
1632,2.79813e-06,5.55313
1631,3.14213e-06,5.50278
