λ,T,Reflectance
614,0.9825596999999999,0.015727853506263142
615,0.9830771637000001,0.01479563545922088
616,0.9836587143,0.014327246456432572
617,0.9840731429999999,0.013808013003921931
618,0.9844149779999999,0.01374105424103699
619,0.98458999635,0.013235687030781613
620,0.9846196746999999,0.01365297216530961
621,0.98424827575,0.013854513249170464
622,0.9836843109,0.014315153868537394
623,0.98338897705,0.014746055961832576
624,0.9824591064,0.015375624398312096
625,0.9818719101000001,0.01605865593782346
626,0.98111946105,0.0170983212934033
627,0.9801145553500001,0.017942893285876393
628,0.97924633025,0.0187545979221138
629,0.97837810515,0.01955650667853476
630,0.9774967575,0.02033485660717125
631,0.97671035765,0.021299172892254727
632,0.97576324465,0.021628117201264434
633,0.975598259,0.022420957095824954
634,0.9749353408499999,0.022901828886691775
635,0.974466362,0.023615098223283247
636,0.9741833877499999,0.023752136060847643
637,0.9740337371999999,0.024031140497557345
638,0.97403907775,0.02390895145203096
639,0.9739204788000001,0.02377474287796127
640,0.97410713195,0.023959496566318076
641,0.9743746948,0.023445765224020167
642,0.97509346005,0.0230118225931554
643,0.97531951905,0.02284585926781449
644,0.9759904861500001,0.021900565267708196
645,0.9765788650499999,0.021610490162689882
646,0.9771342086999999,0.020800885701175605
647,0.9778877639999999,0.02017231352564725
648,0.9784918976,0.019459945461618434
649,0.97916301725,0.01886818605659124
650,0.9798170852499999,0.018338480640050305
651,0.9801612090999999,0.017554029214175742
652,0.9806097412,0.01743854874393956
653,0.9810676574499999,0.016991122826542037
654,0.9810187912,0.01657874032870036
655,0.9813125228499999,0.016558768280661253
656,0.98122348785,0.016276834100147807
657,0.9815187073,0.01668649630885454
658,0.98093883515,0.01677111170219125
659,0.9807780075,0.017067305889482097
660,0.9806518936,0.017718477631727465
661,0.9797018432499999,0.01825780585552671
662,0.9790776825,0.018600601519127263
663,0.9785055923499999,0.01932421731211005
664,0.97768131255,0.02008571907013951
665,0.9766397476500001,0.020971605124078772
666,0.97610481265,0.02183626278033341
667,0.9750445175,0.02293066115877483
668,0.97431346895,0.0237378765785573
669,0.9734250259000001,0.024719299602833283
670,0.9724777984499999,0.025320720564771686
671,0.97168403625,0.026255571730201415
672,0.9709327698,0.026944141027280398
673,0.9701689147499999,0.02775849634726892
674,0.9696035003500001,0.02832990246179821
675,0.9690317917,0.028945835460687165
676,0.96861522675,0.029300396816228255
677,0.9681148147499999,0.02964820432859486
678,0.9680721283,0.02981056114898247
679,0.9677279663,0.029967959441634592
680,0.9676117325,0.029966703093008924
681,0.96783683775,0.03009850896228892
682,0.96808734895,0.02985731155054656
683,0.9683006667999998,0.029532620593400432
684,0.9690343093999999,0.029131417586636316
685,0.9692385863999999,0.028453018981274267
686,0.9698840332,0.027721753396298315
687,0.9703956603999999,0.02748654625971533
688,0.9712752533,0.026555944663088315
689,0.9719344711,0.025948524513354262
690,0.9728123474,0.02515943513345268
691,0.97350326535,0.024569323414884936
692,0.974243927,0.02383938349606366
693,0.9748421097000001,0.023365657311264963
694,0.9756314467999999,0.022509626728192293
695,0.97619850155,0.021292167388338265
696,0.97706546785,0.02113315315365283
697,0.97744781495,0.02051576865563671
698,0.9778657913000001,0.01995120757850608
699,0.9783049011,0.01954526328830474
700,0.97880882265,0.019131302877174145
701,0.9790711593500001,0.01904605016777849
702,0.97899856565,0.01861746572561323
703,0.97898380275,0.01868837185345096
704,0.9788654709,0.018707097595955506
705,0.9790275955,0.018559592074658262
706,0.97881259915,0.01879441270439111
707,0.9784664535500001,0.018989905410916445
708,0.9780181503500001,0.019456883158339485
709,0.97758754735,0.01985706459493212
710,0.9773188782,0.020488929292152572
711,0.9769333267,0.020945837574479667
712,0.9762299346500001,0.0213033319338626
713,0.9759654999,0.022196599590610246
714,0.975165329,0.02264894784636904
715,0.97474880215,0.02306019584092139
716,0.9740492629999999,0.023825923438282666
717,0.9736634064,0.024732987016475357
718,0.9728164673,0.024891885710385062
719,0.97249759675,0.025339840488528186
720,0.9717469787499999,0.02600018332569853
721,0.9722268677,0.026004263643686923
722,0.9714780426,0.026535253672559447
723,0.9711964035,0.027129108349461334
724,0.97131126405,0.02691472860215287
725,0.9704878235000001,0.026923925005476145
726,0.9711220169000001,0.0269803686546337
727,0.9710404205500001,0.026903307032154565
728,0.9708942032,0.027043020230118894
729,0.9710395049999999,0.02719033646232438
730,0.9711825943,0.026853772691812994
731,0.97114902495,0.02595882998086877
732,0.9713962173499999,0.025049433248325724
733,0.97253276825,0.025370067187751658
734,0.9733507919000001,0.024761412383569072
735,0.97322769165,0.024384245589866415
736,0.9742017745999999,0.023763379071561896
737,0.97495487215,0.022746999349193067
738,0.9750645446999999,0.022805341363532503
739,0.97607242585,0.02203950162644694
740,0.9766080855999999,0.021832653342685106
741,0.97716018675,0.020659712994417146
742,0.9782188034000001,0.019819533611483656
743,0.9783478164499999,0.019210802382757894
744,0.97908885955,0.018561787386939168
745,0.9804673004,0.018449443830267972
746,0.9806256103500001,0.017059355423779093
747,0.98065567015,0.017002643940453265
748,0.9817169571,0.01640454761907285
749,0.9821608352499999,0.015644898594234628
750,0.9824554825,0.01546889221083886
751,0.9827002335,0.014995413903757875
752,0.9827872085499999,0.015248977335607199
753,0.9828742599500001,0.014958734557635488
754,0.9832632065,0.014804052516533082
755,0.9832314682000001,0.014686010295659451
756,0.9828656768499999,0.014796358988292187
757,0.98289943695,0.015311981963365013
758,0.9828141403,0.014992184027086488
759,0.98222263335,0.015101254456594479
760,0.9820933532999999,0.015567604735938314
761,0.9816368103499999,0.01587966207197272
762,0.9816749190999999,0.016591108093881
763,0.9813154602,0.016443336021476004
764,0.98096088405,0.017620388356011284
765,0.98027412415,0.017175250668291002
766,0.9799273300500001,0.017950925372206782
767,0.97946144105,0.01822380241308197
768,0.9790615844999999,0.019461149998610962
769,0.9783119583000002,0.019540290968628284
770,0.9779148101999999,0.019893535093174968
771,0.97748207095,0.02039834510015832
772,0.9773419189500001,0.020496271099454927
773,0.9768209076,0.021209646456456826
774,0.97612270355,0.021693710360345942
775,0.9762505722,0.02127457374232963
776,0.9763308334000002,0.02192959756086797
777,0.97600917815,0.0218931651868564
778,0.9759358596500001,0.02173269439708625
779,0.9755835723999999,0.021809951863434103
780,0.97586231235,0.021884950374646696
781,0.9759662628,0.021699171304390204
782,0.9762555313,0.021919384265482032
783,0.9761868667499999,0.021788283262904176
784,0.9764699554499999,0.021504647992958016
785,0.9763654327500001,0.021240361068032048
786,0.97672168735,0.021012171569262997
787,0.97712265015,0.02030570777448992
788,0.97762031555,0.020433972702664786
789,0.9778972626000001,0.020240255841446224
790,0.9777842331,0.019950642629828187
791,0.9783289718500001,0.019521234616664898
792,0.97882568355,0.019051586457408835
793,0.9789031600999999,0.018730248586205485
794,0.9793198394999999,0.018861936193740866
795,0.9794662857,0.01790986704726565
796,0.98008197785,0.01812035481093653
797,0.9803174591,0.018070230999676817
798,0.9800434112499999,0.018060073403631235
799,0.9796055602999999,0.018095988042850092
800,0.9793994522,0.01849098890099276
801,0.9789303207500001,0.018160338808415007
802,0.9789642334000002,0.0182555892597507
803,0.9783536148,0.01966947691934035
804,0.97835670475,0.01983063003240915
805,0.9770905685,0.0203944626841245
806,0.9761101913499999,0.021794011736086222
807,0.9751086044499999,0.022426602842191147
808,0.973755188,0.023274984219336114
809,0.972326889,0.024715898439278138
810,0.9711347961,0.02706474859480422
811,0.9697611236500001,0.02809341055350432
812,0.9678968811,0.02993919389240961
813,0.9658549117999999,0.031918280495701126
814,0.9644469452,0.03409476869591893
815,0.96142494205,0.03591987462261158
816,0.9591172790499999,0.038873449677532236
817,0.9562895202499999,0.04113809002247354
